datetime,open,high,low,close,volume,support,resis
2021-11-26 19:00:00,196.89,199.04,196.52,198.19,17654.95027158,40.59,290.56
2021-11-26 20:00:00,198.29,199.55,197.41,199.39,13299.15200395,40.59,290.56
2021-11-26 21:00:00,199.35,200.11,197.9,197.96,17530.30719591,40.59,290.56
2021-11-26 22:00:00,197.99,199.99,197.05,197.45,18573.91376233,40.59,290.56
2021-11-26 23:00:00,197.45,198.34,194.67,195.78,12828.88899493,40.59,290.56
2021-11-27 00:00:00,195.76,201.13,195.44,198.51,22139.36489958,40.59,290.56
2021-11-27 01:00:00,198.61,199.21,197.02,198.59,9449.36152795,40.59,290.56
2021-11-27 02:00:00,198.59,200.37,198.17,200.15,8535.07018718,40.59,290.56
2021-11-27 03:00:00,200.12,200.12,197.89,198.01,14320.75345693,40.59,290.56
2021-11-27 04:00:00,197.99,199.5,197.68,198.78,17237.88336425,40.59,290.56
2021-11-27 05:00:00,198.74,199.26,195.76,195.94,11918.70501705,40.59,290.56
2021-11-27 06:00:00,195.93,197.97,195.9,196.31,11624.7470488,40.59,290.56
2021-11-27 07:00:00,196.28,196.99,195.87,195.96,11766.99365838,40.59,290.56
2021-11-27 08:00:00,195.97,200.48,195.93,198.81,15362.8617604,40.59,290.56
2021-11-27 09:00:00,198.85,199.7,195.9,196.23,5688.62169184,40.59,290.56
2021-11-27 10:00:00,196.31,198.1,194.8,197.58,10139.21077005,40.59,290.56
2021-11-27 11:00:00,197.51,198.56,196.06,196.3,4719.49061216,40.59,290.56
2021-11-27 12:00:00,196.28,197.03,195.76,196.64,6231.6675306,40.59,290.56
2021-11-27 13:00:00,196.67,197.8,196.17,196.91,7604.21311896,40.59,290.56
2021-11-27 14:00:00,196.93,197.78,195.98,196.19,10208.04311652,40.59,290.56
2021-11-27 15:00:00,196.12,197.49,195.82,196.98,6852.24342347,40.59,290.56
2021-11-27 16:00:00,196.93,198.07,196.39,196.57,6434.39324331,40.59,290.56
2021-11-27 17:00:00,196.57,197.72,196.21,197.18,6764.55795831,40.59,290.56
2021-11-27 18:00:00,197.11,197.41,196.0,197.0,7737.64622384,40.59,290.56
2021-11-27 19:00:00,197.0,197.2,196.53,196.63,4634.73306288,40.59,290.56
2021-11-27 20:00:00,196.63,197.48,191.87,192.52,20308.09419259,40.59,290.56
2021-11-27 21:00:00,192.49,194.55,190.87,193.99,17409.01024122,40.59,290.56
2021-11-27 22:00:00,193.99,196.06,193.95,195.56,12061.36906238,40.59,290.56
2021-11-27 23:00:00,195.51,195.65,192.95,195.36,14506.61294077,40.59,290.56
2021-11-28 00:00:00,195.24,195.52,191.77,194.32,20434.76419831,40.59,290.56
2021-11-28 01:00:00,194.2,194.92,191.18,192.16,18169.36967987,40.59,290.56
2021-11-28 02:00:00,192.06,193.06,183.91,189.95,49095.23543315,40.59,290.56
2021-11-28 03:00:00,189.89,190.5,187.85,189.44,16131.25207337,40.59,290.56
2021-11-28 04:00:00,189.43,190.41,187.62,188.34,12109.28004468,40.59,290.56
2021-11-28 05:00:00,188.35,190.38,187.97,190.1,13543.25579947,40.59,290.56
2021-11-28 06:00:00,190.1,191.28,188.77,190.88,12665.38937599,40.59,290.56
2021-11-28 07:00:00,190.9,191.31,190.13,190.51,8078.04130026,40.59,290.56
2021-11-28 08:00:00,190.51,190.88,188.86,189.31,8359.28894354,40.59,290.56
2021-11-28 09:00:00,189.3,190.07,187.82,189.91,5331.04745201,40.59,290.56
2021-11-28 10:00:00,189.92,193.26,188.45,191.94,8742.46374724,40.59,290.56
2021-11-28 11:00:00,192.1,192.68,189.86,190.23,6845.92305974,40.59,290.56
2021-11-28 12:00:00,190.24,191.14,189.33,190.36,7277.50902799,40.59,290.56
2021-11-28 13:00:00,190.34,190.76,189.5,189.93,7134.46823088,40.59,290.56
2021-11-28 14:00:00,189.93,190.98,188.25,190.43,6683.46379587,40.59,290.56
2021-11-28 15:00:00,190.47,190.74,189.42,189.98,10697.22635885,40.59,290.56
2021-11-28 16:00:00,190.0,190.4,187.74,189.38,11712.53466077,40.59,290.56
2021-11-28 17:00:00,189.34,190.3,186.72,187.33,13049.80293075,40.59,290.56
2021-11-28 18:00:00,187.28,188.17,182.0,187.8,30372.87775118,40.59,290.56
2021-11-28 19:00:00,187.86,190.95,187.29,189.86,20586.60035833,40.59,290.56
2021-11-28 20:00:00,189.88,192.08,189.67,191.69,13286.80912373,40.59,290.56
2021-11-28 21:00:00,191.76,198.0,191.57,197.68,31541.48998888,40.59,290.56
2021-11-28 22:00:00,197.67,199.24,193.93,194.4,24374.51484077,40.59,290.56
2021-11-28 23:00:00,194.49,200.09,194.38,199.64,21574.69424894,40.59,290.56
2021-11-29 00:00:00,199.68,201.93,198.61,200.91,21669.17982034,40.59,290.56
2021-11-29 01:00:00,200.89,203.0,200.23,201.29,14200.44549962,40.59,290.56
2021-11-29 02:00:00,201.31,201.63,199.6,199.77,12257.74855357,40.59,290.56
2021-11-29 03:00:00,199.81,200.41,198.64,199.04,8366.14309579,40.59,290.56
2021-11-29 04:00:00,198.95,199.91,198.62,198.71,7914.10464428,40.59,290.56
2021-11-29 05:00:00,198.79,199.94,198.61,199.72,9014.97851552,40.59,290.56
2021-11-29 06:00:00,199.67,199.98,198.58,199.61,5345.54286069,40.59,290.56
2021-11-29 07:00:00,199.59,200.58,199.57,200.12,5312.78776318,40.59,290.56
2021-11-29 08:00:00,200.13,200.25,197.7,197.81,8931.6953768,40.59,290.56
2021-11-29 09:00:00,197.79,198.71,195.48,196.32,15062.09196476,40.59,290.56
2021-11-29 10:00:00,196.22,198.5,195.89,197.33,7348.30548088,40.59,290.56
2021-11-29 11:00:00,197.27,198.04,196.54,196.68,12284.59062965,40.59,290.56
2021-11-29 12:00:00,196.65,198.2,196.58,197.54,9771.08627581,40.59,290.56
2021-11-29 13:00:00,197.53,204.96,197.36,202.09,16057.99121367,40.59,290.56
2021-11-29 14:00:00,202.01,203.32,199.34,200.31,10500.44237878,40.59,290.56
2021-11-29 15:00:00,200.39,200.75,198.75,199.91,6826.962085,40.59,290.56
2021-11-29 16:00:00,200.02,201.95,199.1,201.95,10584.09394019,40.59,290.56
2021-11-29 17:00:00,201.95,209.69,201.44,207.95,35025.65832119,40.59,290.56
2021-11-29 18:00:00,208.01,209.0,206.73,208.7,12860.56650823,40.59,290.56
2021-11-29 19:00:00,208.75,208.91,205.85,206.22,15932.57027856,40.59,290.56
2021-11-29 20:00:00,206.22,207.71,205.44,206.05,9186.4247446,40.59,290.56
2021-11-29 21:00:00,206.08,207.31,205.86,206.93,7391.54188466,40.59,290.56
2021-11-29 22:00:00,207.0,207.31,206.49,206.81,10904.18649159,40.59,290.56
2021-11-29 23:00:00,206.81,208.9,205.59,205.8,15626.25882569,40.59,290.56
2021-11-30 00:00:00,205.81,207.28,204.5,205.35,15438.34459993,40.59,290.56
2021-11-30 01:00:00,205.32,210.61,202.72,204.2,33729.14679893,40.59,290.56
2021-11-30 02:00:00,204.19,205.95,204.08,204.67,11313.7644356,40.59,290.56
2021-11-30 03:00:00,204.59,204.87,201.16,203.48,20542.44500437,40.59,290.56
2021-11-30 04:00:00,203.61,204.8,203.14,204.25,18281.71394708,40.59,290.56
2021-11-30 05:00:00,204.2,204.62,199.85,200.15,13139.76175515,40.59,290.56
2021-11-30 06:00:00,200.04,201.69,197.65,201.4,14115.78658411,40.59,290.56
2021-11-30 07:00:00,201.25,203.72,200.18,201.81,8409.65405809,40.59,290.56
2021-11-30 08:00:00,201.87,204.42,199.66,201.46,14630.81709791,40.59,290.56
2021-11-30 09:00:00,201.51,202.62,200.13,202.08,10705.16286145,40.59,290.56
2021-11-30 10:00:00,201.93,203.31,201.32,202.97,8169.1935549,40.59,290.56
2021-11-30 11:00:00,203.06,212.18,202.07,208.46,28737.8743838,40.59,290.56
2021-11-30 12:00:00,208.49,216.11,208.41,213.08,36453.9292936,40.59,290.56
2021-11-30 13:00:00,213.13,215.47,211.89,215.2,18107.79752757,40.59,290.56
2021-11-30 14:00:00,215.13,217.08,214.01,214.5,22672.00339018,40.59,290.56
2021-11-30 15:00:00,214.57,220.18,210.09,210.09,49104.60052665,40.59,290.56
2021-11-30 16:00:00,210.12,211.92,206.68,206.95,43939.76822986,40.59,290.56
2021-11-30 17:00:00,206.93,210.79,205.67,210.35,17150.03276284,40.59,290.56
2021-11-30 18:00:00,210.26,213.38,209.03,213.11,16994.26510244,40.59,290.56
2021-11-30 19:00:00,213.3,213.32,210.36,211.46,16538.02698316,40.59,290.56
2021-11-30 20:00:00,211.49,211.76,209.41,210.01,12028.85321336,40.59,290.56
2021-11-30 21:00:00,210.21,211.45,207.88,208.93,12449.42935862,40.59,290.56
2021-11-30 22:00:00,208.97,210.12,208.94,209.44,12799.89336709,40.59,290.56
2021-11-30 23:00:00,209.44,210.15,207.21,207.97,16174.38247292,40.59,290.56
2021-12-01 00:00:00,208.01,211.02,206.7,210.68,16295.33453589,40.59,290.56
2021-12-01 01:00:00,210.71,210.79,208.75,209.26,8036.61068427,40.59,290.56
2021-12-01 02:00:00,209.32,211.37,208.0,211.22,7930.95890825,40.59,290.56
2021-12-01 03:00:00,211.26,214.9,210.68,212.82,12885.86983207,40.59,290.56
2021-12-01 04:00:00,212.81,212.81,210.46,211.37,6667.21972063,40.59,290.56
2021-12-01 05:00:00,211.46,211.84,209.9,210.0,5691.80118916,40.59,290.56
2021-12-01 06:00:00,210.04,214.84,209.55,213.01,12249.66857256,40.59,290.56
2021-12-01 07:00:00,213.07,216.62,212.0,215.85,14905.35957078,40.59,290.56
2021-12-01 08:00:00,215.85,216.71,212.17,212.89,16905.28010098,40.59,290.56
2021-12-01 09:00:00,212.94,214.35,211.15,214.08,8045.03459774,40.59,290.56
2021-12-01 10:00:00,214.04,214.62,211.81,212.79,5437.68630588,40.59,290.56
2021-12-01 11:00:00,212.8,213.54,211.52,212.35,7002.42605973,40.59,290.56
2021-12-01 12:00:00,212.41,213.73,210.13,210.6,25749.59370069,40.59,290.56
2021-12-01 13:00:00,210.52,214.34,210.33,213.44,9983.05064678,40.59,290.56
2021-12-01 14:00:00,213.43,217.97,213.32,216.61,17235.71011549,40.59,290.56
2021-12-01 15:00:00,216.69,217.54,214.87,215.41,14300.42821469,40.59,290.56
2021-12-01 16:00:00,215.37,217.46,213.84,214.18,16157.30769574,40.59,290.56
2021-12-01 17:00:00,214.18,214.98,211.93,212.15,9268.62766818,40.59,290.56
2021-12-01 18:00:00,212.14,213.0,211.05,211.24,12338.08509842,40.59,290.56
2021-12-01 19:00:00,211.18,212.01,208.65,211.15,15527.22076187,40.59,290.56
2021-12-01 20:00:00,211.15,211.21,206.92,207.81,22247.13235564,40.59,290.56
2021-12-01 21:00:00,207.94,208.18,205.29,207.36,23201.51005457,40.59,290.56
2021-12-01 22:00:00,207.36,208.22,206.09,207.59,8609.94578581,40.59,290.56
2021-12-01 23:00:00,207.54,210.0,207.34,208.91,19246.03411873,40.59,290.56
2021-12-02 00:00:00,208.97,209.7,205.96,208.03,19305.06372955,40.59,290.56
2021-12-02 01:00:00,208.07,210.29,206.61,209.24,17496.33689768,40.59,290.56
